eigenvalue	proportion	cumulative
  0.12957	  0.00013	  0.99587	-0.179pixel_808+0.167pixel_618-0.13pixel_936+0.123pixel_777+0.113pixel_200...
  0.12578	  0.00012	  0.99599	0.137pixel_457+0.128pixel_104-0.116pixel_744+0.115pixel_424+0.114pixel_398...
  0.12355	  0.00012	  0.99611	-0.137pixel_167-0.136pixel_841+0.134pixel_537-0.119pixel_232+0.117pixel_306...
  0.12183	  0.00012	  0.99623	0.141pixel_200+0.129pixel_404+0.121pixel_872+0.116pixel_281-0.116pixel_936...
  0.11955	  0.00012	  0.99635	0.25 pixel_809-0.14pixel_4+0.12 pixel_423-0.114pixel_712-0.114pixel_808...
  0.11584	  0.00011	  0.99646	0.185pixel_233+0.134pixel_232+0.113pixel_562+0.106pixel_306-0.106pixel_711...
  0.11158	  0.00011	  0.99657	0.189pixel_378+0.111pixel_337+0.108pixel_233+0.108pixel_395+0.107pixel_996...
  0.11082	  0.00011	  0.99668	-0.135pixel_233+0.132pixel_404-0.128pixel_1024-0.124pixel_295+0.121pixel_623...
  0.10899	  0.00011	  0.99678	0.152pixel_232-0.131pixel_1024-0.125pixel_457+0.12 pixel_680-0.112pixel_200...
  0.10578	  0.0001 	  0.99689	0.157pixel_809+0.133pixel_655-0.116pixel_777-0.113pixel_711+0.111pixel_661...
  0.10366	  0.0001 	  0.99699	-0.12pixel_836-0.119pixel_231+0.114pixel_537-0.112pixel_434+0.111pixel_296...
  0.10289	  0.0001 	  0.99709	0.167pixel_233+0.142pixel_712+0.131pixel_232-0.122pixel_570+0.121pixel_537...
  0.09727	  0.00009	  0.99718	-0.119pixel_403+0.114pixel_337-0.107pixel_361+0.107pixel_372-0.093pixel_534...
  0.09408	  0.00009	  0.99728	0.172pixel_233-0.171pixel_809+0.119pixel_551-0.11pixel_561-0.103pixel_305...
  0.09259	  0.00009	  0.99737	-0.147pixel_233-0.136pixel_562+0.131pixel_232+0.118pixel_808+0.113pixel_649...
  0.09132	  0.00009	  0.99745	0.134pixel_136+0.131pixel_377-0.126pixel_392-0.126pixel_295+0.124pixel_338...
  0.08933	  0.00009	  0.99754	-0.121pixel_968+0.119pixel_996+0.109pixel_103-0.108pixel_594-0.105pixel_998...
  0.08738	  0.00009	  0.99763	-0.136pixel_233+0.133pixel_167-0.123pixel_992-0.123pixel_624-0.118pixel_713...
  0.08472	  0.00008	  0.99771	-0.124pixel_328+0.113pixel_776+0.109pixel_906+0.104pixel_595+0.103pixel_593...
  0.08119	  0.00008	  0.99779	0.155pixel_199-0.126pixel_562+0.124pixel_466+0.121pixel_563-0.104pixel_807...
  0.07922	  0.00008	  0.99787	0.288pixel_233-0.153pixel_809-0.148pixel_904+0.127pixel_618-0.121pixel_627...
  0.0786 	  0.00008	  0.99794	-0.13pixel_681-0.129pixel_64+0.113pixel_744-0.111pixel_202-0.106pixel_233...
  0.07798	  0.00008	  0.99802	0.148pixel_711+0.126pixel_72+0.12 pixel_809-0.112pixel_466-0.104pixel_462...
  0.07631	  0.00007	  0.99809	0.17 pixel_836-0.109pixel_307+0.107pixel_649-0.105pixel_705+0.101pixel_367...
  0.07509	  0.00007	  0.99817	0.125pixel_339-0.113pixel_873-0.107pixel_295-0.105pixel_691-0.102pixel_305...
  0.07264	  0.00007	  0.99824	0.137pixel_329-0.128pixel_745+0.125pixel_313+0.124pixel_744+0.115pixel_740...
  0.07038	  0.00007	  0.99831	-0.116pixel_744-0.111pixel_231-0.105pixel_197+0.104pixel_713+0.1  pixel_361...
  0.0699 	  0.00007	  0.99838	-0.132pixel_1024-0.12pixel_275-0.096pixel_281-0.096pixel_389+0.093pixel_569...
